target_chembl_id,pref_name,family,organism,target_type
CHEMBL2364177,2'-deoxyadenosine,Unknown,Homo sapiens,SMALL MOLECULE
CHEMBL3351218,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2439944,2-acylglycerol O-acyltransferase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105941,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4739855,2-hydroxyacylsphingosine 1-beta-galactosyltransferase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2150840,2-oxoglutarate receptor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL612818,2008,Unknown,Homo sapiens,CELL-LINE
CHEMBL614252,2008/R,Unknown,Homo sapiens,CELL-LINE
CHEMBL612819,2008/S,Unknown,Homo sapiens,CELL-LINE
CHEMBL3831201,20S proteasome,Unknown,Homo sapiens,PROTEIN COMPLEX GROUP
CHEMBL1075382,23132-87,Unknown,Homo sapiens,CELL-LINE
CHEMBL5993,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3831205,26S protease regulatory subunit 6B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2364701,26S proteasome,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2331054,26S proteasome non-ATPase regulatory subunit 10,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3831212,26S proteasome non-ATPase regulatory subunit 11,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2007629,26S proteasome non-ATPase regulatory subunit 14,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4802014,28S rRNA (cytosine-C(5))-methyltransferase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295990,"28S ribosomal protein S23, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295776,"28S ribosomal protein S29, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295986,"28S ribosomal protein S7, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL1958,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3670,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885502,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase/Delta(24)-sterol reductase",Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL4931,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3108657,"3-hydroxyanthranilate 3,4-dioxygenase",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523215,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3817723,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5999,3-keto-steroid reductase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2534,3-phosphoinositide dependent protein kinase-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2311041,"3-phosphoinositide dependent protein kinase-2, PDK2",Unknown,Homo sapiens,UNKNOWN
CHEMBL612820,3677 melanoma cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL4295780,"39S ribosomal protein L12, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295771,"39S ribosomal protein L19, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1861,4-hydroxyphenylpyruvate dioxygenase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1932893,40S ribosomal protein S27,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3351215,40S ribosomal protein S6,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL6119,40S ribosomal protein SA,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614511,41M,Unknown,Homo sapiens,CELL-LINE
CHEMBL2163166,43 kDa receptor-associated protein of the synapse,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105944,5' exonuclease Apollo,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3751653,"5'(3')-deoxyribonucleotidase, cytosolic type",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3751654,"5'(3')-deoxyribonucleotidase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4879501,5'-3' exonuclease PLD4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885504,5'-AMP-activated protein kinase catalytic subunit alpha-2/beta-1/gamma-2,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL5957,5'-nucleotidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295852,5'-nucleotidase domain-containing protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295945,5'-nucleotidase domain-containing protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3712886,"5,6-dihydroxyindole-2-carboxylic acid oxidase",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291612,5-8F,Unknown,Homo sapiens,CELL-LINE
CHEMBL4523958,5-HT1A/5-HT1F,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4523959,5-HT1B/5-HT1F,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4523960,5-HT1D/5-HT1F,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4296741,5-aminolevulinate synthase mRNA,Unknown,Homo sapiens,NUCLEIC-ACID
CHEMBL4523456,5-azacytidine-induced protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4630851,"5-demethoxyubiquinone hydroxylase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4630758,5-hydroxytryptamine receptor 2A/Metabotropic glutamate receptor 2,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4296091,5-hydroxytryptamine receptor 3A/3C,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4296087,5-hydroxytryptamine receptor 3A/3E,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4550,5-lipoxygenase activating protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2111402,5-lipoxygenase/FLAP,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4483222,518A2,Unknown,Homo sapiens,CELL-LINE
CHEMBL612565,5637,Unknown,Homo sapiens,CELL-LINE
CHEMBL2864,6-O-methylguanine-DNA methyltransferase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3421524,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3421525,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2331053,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3721311,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3404,6-phosphogluconate dehydrogenase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4630823,6-pyruvoyl tetrahydrobiopterin synthase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295698,60S acidic ribosomal protein P2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1075383,639-V,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075384,647-V,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366253,697,Unknown,Homo sapiens,CELL-LINE
CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523494,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2169735,7-dehydrocholesterol reductase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295921,7-methylguanosine phosphate-specific 5'-nucleotidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614043,768-0,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075385,769-P,Unknown,Homo sapiens,CELL-LINE
CHEMBL1781865,78 kDa glucose-regulated protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL613102,786-0,Unknown,Homo sapiens,CELL-LINE
CHEMBL614254,791T cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366115,8-MG-BA,Unknown,Homo sapiens,CELL-LINE
CHEMBL3987582,80S Ribosome,Unknown,Homo sapiens,PROTEIN NUCLEIC-ACID COMPLEX
CHEMBL1075386,8305C,Unknown,Homo sapiens,CELL-LINE
CHEMBL613103,833K,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075387,8505C,Unknown,Homo sapiens,CELL-LINE
CHEMBL614777,8701-BC,Unknown,Homo sapiens,CELL-LINE
CHEMBL614512,A 172,Unknown,Homo sapiens,CELL-LINE
CHEMBL2346492,A disintegrin and metalloproteinase with thrombospondin motifs 13,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL613859,A-375,Unknown,Homo sapiens,CELL-LINE
CHEMBL614515,A-427,Unknown,Homo sapiens,CELL-LINE
CHEMBL614069,A-431,Unknown,Homo sapiens,CELL-LINE
CHEMBL4295800,A-kinase anchor protein 12,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523643,A-kinase anchor protein 13/Transforming protein RhoA,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2366306,A101D,Unknown,Homo sapiens,CELL-LINE
CHEMBL613106,A121,Unknown,Homo sapiens,CELL-LINE
CHEMBL614514,A204,Unknown,Homo sapiens,CELL-LINE
CHEMBL613503,A2058,Unknown,Homo sapiens,CELL-LINE
CHEMBL614255,A253 cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL614004,A2780,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483224,A2780/Taxol,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296398,A2780S,Unknown,Homo sapiens,CELL-LINE
CHEMBL614023,A2780cisR,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366273,A3-KAW,Unknown,Homo sapiens,CELL-LINE
CHEMBL4513121,A375-SM,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296383,A375/R,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366355,A388,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366356,A4-Fuk,Unknown,Homo sapiens,CELL-LINE
CHEMBL614516,A498,Unknown,Homo sapiens,CELL-LINE
CHEMBL392,A549,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483225,A549/CDDP,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483226,A549/TR,Unknown,Homo sapiens,CELL-LINE
CHEMBL614517,A673,Unknown,Homo sapiens,CELL-LINE
CHEMBL614567,A704,Unknown,Homo sapiens,CELL-LINE
CHEMBL613546,ABAE,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075391,ABC-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL614263,ACH-2 cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL614519,ACHN,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366195,ACN,Unknown,Homo sapiens,CELL-LINE
CHEMBL4630775,AD293,Unknown,Homo sapiens,CELL-LINE
CHEMBL5303724,ADA,Unknown,Homo sapiens,NUCLEIC-ACID
CHEMBL5028,ADAM10,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5030,ADAM12,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3706,ADAM17,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5982,ADAM9,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5133,ADAMTS1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2318,ADAMTS4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2285,ADAMTS5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614264,ADDP cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL2062356,ADM,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5267,ADM2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295963,ADP-ribose glycohydrolase ARH3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295934,ADP-ribose glycohydrolase MACROD1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295630,ADP-ribose glycohydrolase MACROD2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295991,ADP-ribose glycohydrolase OARD1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105984,"ADP-ribose pyrophosphatase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5169147,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5985,ADP-ribosylation factor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5986,ADP-ribosylation factor 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5987,ADP-ribosylation factor 6,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295751,ADP-ribosylation factor-like protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295962,ADP-ribosylation factor-like protein 8B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2158,ADP-ribosyltransferase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105713,ADP-sugar pyrophosphatase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3709670,ADP/ATP translocase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105854,ADP/ATP translocase 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614266,ADR5000 cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL4802020,AFG3-like protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614700,AG06848 cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL614268,AG1523,Unknown,Homo sapiens,CELL-LINE
CHEMBL613860,AGS,Unknown,Homo sapiens,CELL-LINE
CHEMBL4295645,AH receptor-interacting protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2518,AICAR transformylase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614024,AIK-T4,Unknown,Homo sapiens,CELL-LINE
CHEMBL613504,AIK-T8,Unknown,Homo sapiens,CELL-LINE
CHEMBL3038463,AKT/p21CIP1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4523748,AKT1/PPP1CA,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4247,ALK tyrosine kinase receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2366294,ALL-PO,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366192,AM-38,Unknown,Homo sapiens,CELL-LINE
CHEMBL4523558,AMO1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2869,AMP deaminase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2997,AMP deaminase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2912,AMP deaminase 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2111345,AMP-activated protein kinase (AMPK) alpha-1/beta-1/gamma-1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4106163,AMP-activated protein kinase alpha-1/beta-2/gamma-2,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4106162,AMP-activated protein kinase alpha-1/beta-2/gamma-3,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4106159,AMP-activated protein kinase alpha-2/beta-1/gamma-3,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4106158,AMP-activated protein kinase alpha-2/beta-2/gamma-2,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2096907,"AMP-activated protein kinase, AMPK",Unknown,Homo sapiens,PROTEIN COMPLEX GROUP
CHEMBL4045,"AMP-activated protein kinase, alpha-1 subunit",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2116,"AMP-activated protein kinase, alpha-2 subunit",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3847,"AMP-activated protein kinase, beta-1 subunit",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2117,"AMP-activated protein kinase, beta-2 subunit",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2393,"AMP-activated protein kinase, gamma-1 subunit",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2453,"AMP-activated protein kinase, gamma-2 subunit",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3038454,AMPK alpha1/alpha2,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3038451,AMPK alpha1/beta1/gamma2,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3038452,AMPK alpha1/beta1/gamma3,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3038453,AMPK alpha1/beta2/gamma1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3038455,AMPK alpha2/beta1/gamma1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3038456,AMPK alpha2/beta2/gamma1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3038457,AMPK alpha2/beta2/gamma3,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4630848,AMSH-like protease,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1075392,AN3-CA,Unknown,Homo sapiens,CELL-LINE
CHEMBL4630824,AP-1 complex subunit beta-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295687,AP-2 complex subunit alpha-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296093,APC/Asef,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2366241,ARH-77,Unknown,Homo sapiens,CELL-LINE
CHEMBL612590,ARO,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296399,ARPE-19,Unknown,Homo sapiens,CELL-LINE
CHEMBL5303721,ARSA,Unknown,Homo sapiens,NUCLEIC-ACID
CHEMBL612588,ASPC1,Unknown,Homo sapiens,CELL-LINE
CHEMBL3709855,AT-rich interactive domain-containing protein 4A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614273,ATH-8 cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366277,ATN-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366048,ATP,Unknown,Homo sapiens,SMALL MOLECULE
CHEMBL2062351,"ATP synthase subunit alpha, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2062350,"ATP synthase subunit beta, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295752,"ATP synthase subunit gamma, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2362986,ATP-binding cassette sub-family A member 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1772928,ATP-binding cassette sub-family B member 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2007630,"ATP-binding cassette sub-family B member 6, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1293189,ATP-binding cassette sub-family B member 9,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2073702,ATP-binding cassette sub-family C member 11,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5393,ATP-binding cassette sub-family G member 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3720,ATP-citrate synthase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3797014,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523305,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1293236,ATP-dependent DNA helicase Q1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2010634,ATP-dependent RNA helicase DDX1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105795,ATP-dependent RNA helicase DDX39A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5553,ATP-dependent RNA helicase DDX3X,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105782,ATP-dependent RNA helicase DDX42,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105909,ATP-dependent RNA helicase DHX29,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105814,ATP-dependent RNA helicase DHX30,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1293292,ATP-sensitive inward rectifier potassium channel 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2146348,ATP-sensitive inward rectifier potassium channel 10,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2150837,ATPase family AAA domain-containing protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2176775,ATPase family AAA domain-containing protein 2B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1741209,ATPase family AAA domain-containing protein 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4106138,ATR/ATRIP,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL1075393,AU565,Unknown,Homo sapiens,CELL-LINE
CHEMBL614274,AZ-521 cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL2189132,Abhydrolase domain-containing protein FAM108B1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2616,"Acetyl-CoA acetyltransferase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885507,Acetyl-CoA carboxylase,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL3351,Acetyl-CoA carboxylase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4829,Acetyl-CoA carboxylase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523467,"Acetyl-coenzyme A synthetase, cytoplasmic",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3638338,Acetyl-coenzyme A transporter 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4808,Acetylcholine receptor protein alpha chain,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3011,Acetylcholine receptor protein delta chain,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2484,Acetylcholine receptor protein epsilon chain,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1907588,Acetylcholine receptor; alpha1/beta1/delta/gamma,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL220,Acetylcholinesterase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5463,Acid ceramidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2120,Acidic fibroblast growth factor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295758,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295917,Acidic leucine-rich nuclear phosphoprotein 32 family member B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1293197,Acidic mammalian chitinase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2738,Acrosin,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2062353,"Actin, cytoplasmic 1",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5169205,Actin-binding protein WASF3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL6090,Actin-related protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295656,Actin-related protein 2/3 complex subunit 1B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295657,Actin-related protein 2/3 complex subunit 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295658,Actin-related protein 2/3 complex subunit 5,Unknown,Homo sapiens,SINGLE PROTEIN
